                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.96194,                0.61137,                 1.2678,                0.93058,                 0.9271,                0.96293,                0.71711,                0.95204,                0.50781,                 1.3422,               0.002575,               0.002575,               0.002575
                     78,                0.93775,                0.60545,                 1.2728,                 0.9254,                0.92063,                 0.9581,                0.71621,                 0.9424,                 0.5317,                 1.3254,               0.002476,               0.002476,               0.002476
                     79,                0.95384,                0.59618,                 1.2621,                0.92182,                0.93203,                0.96325,                0.72255,                0.93461,                0.51087,                 1.3133,               0.002377,               0.002377,               0.002377
                     80,                0.94294,                0.61258,                 1.2598,                 0.9339,                0.92479,                0.95759,                0.71992,                 0.9344,                0.52901,                 1.3224,               0.002278,               0.002278,               0.002278
                     81,                0.93824,                0.59042,                 1.2522,                0.93574,                0.91461,                0.96033,                0.72323,                0.93446,                0.51785,                 1.3161,               0.002179,               0.002179,               0.002179
                     82,                0.93881,                0.58461,                 1.2563,                0.94111,                0.92762,                0.96457,                0.72626,                0.92988,                0.50332,                 1.3155,                0.00208,                0.00208,                0.00208
                     83,                0.93097,                0.58322,                 1.2605,                0.94156,                0.90847,                0.96265,                0.72484,                0.92712,                 0.5079,                 1.3105,               0.001981,               0.001981,               0.001981
                     84,                0.92877,                 0.5911,                 1.2573,                0.93206,                0.93183,                0.96768,                0.73102,                0.91603,                0.49642,                 1.3012,               0.001882,               0.001882,               0.001882
                     85,                0.92335,                0.56396,                  1.238,                0.94143,                0.91935,                0.96278,                0.72645,                0.91869,                0.48763,                 1.3025,               0.001783,               0.001783,               0.001783
                     86,                0.91954,                0.55705,                 1.2377,                0.94221,                0.91863,                0.96008,                0.72459,                0.92734,                 0.4974,                 1.3081,               0.001684,               0.001684,               0.001684
                     87,                0.91274,                0.55639,                 1.2273,                 0.9431,                0.92545,                0.96399,                0.72636,                0.92432,                0.49351,                  1.305,               0.001585,               0.001585,               0.001585
                     88,                0.91619,                0.55844,                 1.2309,                0.94293,                0.91531,                0.96777,                0.73021,                0.92052,                0.48899,                 1.3052,               0.001486,               0.001486,               0.001486
                     89,                0.91525,                0.55371,                 1.2288,                0.94089,                0.92266,                0.96719,                0.73146,                0.91929,                0.48945,                 1.3063,               0.001387,               0.001387,               0.001387
                     90,                0.91022,                0.55471,                 1.2395,                0.94454,                0.93012,                0.96832,                0.73083,                0.91809,                0.47695,                 1.3046,               0.001288,               0.001288,               0.001288
                     91,                0.87793,                0.51293,                 1.2614,                0.93523,                0.92091,                 0.9645,                0.73017,                0.93111,                 0.4995,                 1.3186,               0.001189,               0.001189,               0.001189
                     92,                 0.8746,                0.48851,                 1.2576,                0.93578,                0.93353,                0.96772,                0.73737,                0.91793,                0.47607,                  1.306,                0.00109,                0.00109,                0.00109
                     93,                0.86943,                0.48558,                 1.2547,                 0.9437,                0.92904,                0.96756,                0.73652,                0.91428,                0.47278,                 1.3011,               0.000991,               0.000991,               0.000991
                     94,                0.85626,                0.47063,                 1.2515,                0.94758,                0.93032,                0.96814,                0.73754,                0.91759,                0.47031,                 1.3053,               0.000892,               0.000892,               0.000892
                     95,                 0.8599,                0.47007,                 1.2449,                0.93668,                0.93965,                0.96468,                0.73271,                0.91605,                 0.4661,                  1.299,               0.000793,               0.000793,               0.000793
                     96,                0.85094,                0.46716,                 1.2465,                0.94502,                0.92854,                0.96751,                0.73447,                0.91718,                0.46583,                 1.3029,               0.000694,               0.000694,               0.000694
                     97,                 0.8512,                0.46293,                 1.2346,                0.93928,                0.94063,                0.96782,                0.73655,                0.91098,                0.46386,                 1.2971,               0.000595,               0.000595,               0.000595
                     98,                0.84271,                0.46203,                 1.2417,                0.94761,                0.93306,                 0.9678,                0.73738,                0.91038,                0.46283,                 1.2956,               0.000496,               0.000496,               0.000496
                     99,                0.84239,                0.45683,                 1.2299,                0.94238,                0.93052,                0.96877,                0.73988,                0.90244,                0.45918,                 1.2927,               0.000397,               0.000397,               0.000397
                    100,                0.83963,                0.45237,                 1.2184,                0.94214,                0.93294,                0.96713,                0.73786,                0.90495,                0.46117,                 1.2918,               0.000298,               0.000298,               0.000298
