                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.4291,                0.67465,                 1.0423,                0.89058,                0.81889,                0.88561,                0.56405,                 1.3254,                0.58189,                 1.0103,               0.005545,               0.005545,               0.005545
                     47,                 1.4249,                 0.6712,                 1.0362,                0.88914,                0.82008,                0.88637,                0.56532,                 1.3228,                0.57899,                 1.0099,               0.005446,               0.005446,               0.005446
                     48,                 1.4264,                 0.6711,                  1.035,                0.89167,                0.81924,                0.88671,                  0.566,                 1.3216,                0.57856,                 1.0092,               0.005347,               0.005347,               0.005347
                     49,                 1.4305,                0.67672,                 1.0404,                0.89039,                0.81917,                0.88621,                0.56556,                  1.323,                0.58054,                 1.0096,               0.005248,               0.005248,               0.005248
                     50,                 1.4203,                0.66791,                 1.0369,                0.89251,                0.81787,                0.88738,                 0.5669,                 1.3231,                0.57573,                 1.0088,               0.005149,               0.005149,               0.005149
                     51,                 1.4212,                0.67002,                 1.0385,                0.89207,                0.81954,                0.88459,                0.56563,                 1.3207,                0.57698,                 1.0081,                0.00505,                0.00505,                0.00505
                     52,                 1.4164,                0.66177,                 1.0299,                0.88975,                0.82219,                0.88556,                0.56661,                 1.3177,                0.57418,                 1.0066,               0.004951,               0.004951,               0.004951
                     53,                 1.4182,                0.66365,                 1.0346,                0.89292,                0.82104,                0.88766,                0.56794,                 1.3172,                0.57312,                 1.0072,               0.004852,               0.004852,               0.004852
                     54,                 1.4173,                0.66221,                 1.0335,                0.89313,                0.82259,                0.88744,                0.56774,                 1.3161,                0.57148,                 1.0067,               0.004753,               0.004753,               0.004753
                     55,                 1.4146,                0.66368,                 1.0334,                0.88999,                0.82469,                0.88795,                0.56778,                 1.3177,                0.57201,                 1.0069,               0.004654,               0.004654,               0.004654
                     56,                 1.4116,                0.65974,                 1.0321,                0.89053,                0.82482,                0.88847,                0.56841,                 1.3162,                0.57039,                 1.0064,               0.004555,               0.004555,               0.004555
                     57,                 1.4087,                0.65879,                 1.0285,                0.89227,                0.82292,                0.88944,                0.56962,                 1.3153,                0.57062,                 1.0054,               0.004456,               0.004456,               0.004456
                     58,                  1.408,                0.65792,                 1.0306,                0.89296,                0.82406,                0.88977,                0.57027,                 1.3142,                 0.5679,                 1.0049,               0.004357,               0.004357,               0.004357
                     59,                 1.4143,                0.65944,                  1.033,                0.89225,                0.82465,                0.88877,                0.56934,                 1.3144,                0.56758,                 1.0049,               0.004258,               0.004258,               0.004258
                     60,                 1.4006,                0.64871,                 1.0272,                0.89166,                 0.8259,                0.88947,                0.57066,                 1.3143,                0.56606,                 1.0052,               0.004159,               0.004159,               0.004159
                     61,                  1.405,                0.65407,                 1.0293,                 0.8918,                0.82706,                 0.8898,                 0.5709,                 1.3125,                0.56512,                 1.0047,                0.00406,                0.00406,                0.00406
                     62,                 1.4071,                0.65353,                 1.0284,                0.89497,                0.82348,                0.88947,                0.57067,                 1.3119,                0.56454,                 1.0042,               0.003961,               0.003961,               0.003961
                     63,                 1.4076,                 0.6564,                 1.0305,                0.89418,                0.82392,                0.88937,                0.57063,                 1.3115,                0.56429,                 1.0038,               0.003862,               0.003862,               0.003862
                     64,                  1.406,                0.65301,                 1.0288,                0.89383,                0.82729,                0.89073,                0.57147,                 1.3107,                0.56322,                 1.0035,               0.003763,               0.003763,               0.003763
                     65,                 1.3987,                 0.6488,                 1.0259,                0.89449,                0.82729,                0.89122,                0.57228,                 1.3096,                0.56198,                 1.0028,               0.003664,               0.003664,               0.003664
                     66,                 1.3996,                0.64789,                 1.0253,                 0.8947,                0.82811,                0.89211,                0.57268,                 1.3092,                0.56098,                 1.0024,               0.003565,               0.003565,               0.003565
                     67,                 1.3987,                0.64756,                 1.0249,                0.89624,                0.82712,                0.89134,                0.57325,                 1.3081,                 0.5605,                 1.0021,               0.003466,               0.003466,               0.003466
                     68,                 1.3952,                0.64383,                 1.0227,                0.89741,                  0.826,                0.89257,                0.57389,                 1.3075,                0.56002,                 1.0013,               0.003367,               0.003367,               0.003367
                     69,                 1.3913,                0.63973,                 1.0245,                0.89463,                0.82959,                0.89273,                0.57388,                 1.3075,                0.55887,                 1.0015,               0.003268,               0.003268,               0.003268
                     70,                 1.3926,                0.64161,                 1.0243,                0.89548,                0.82879,                0.89254,                0.57413,                 1.3061,                0.55815,                  1.001,               0.003169,               0.003169,               0.003169
                     71,                 1.3853,                0.63613,                 1.0208,                0.89737,                0.82879,                0.89297,                0.57457,                 1.3055,                0.55668,                 1.0006,                0.00307,                0.00307,                0.00307
                     72,                 1.3823,                0.63545,                 1.0201,                0.89553,                0.83071,                0.89288,                0.57529,                 1.3041,                0.55598,                      1,               0.002971,               0.002971,               0.002971
                     73,                 1.3925,                0.64118,                 1.0224,                0.89517,                0.83064,                0.89361,                0.57563,                  1.304,                0.55592,                0.99981,               0.002872,               0.002872,               0.002872
                     74,                 1.3799,                0.63273,                 1.0207,                0.89686,                0.82984,                0.89389,                0.57574,                 1.3045,                0.55563,                0.99966,               0.002773,               0.002773,               0.002773
                     75,                 1.3803,                0.63077,                 1.0187,                0.89698,                0.82907,                0.89418,                0.57602,                 1.3029,                0.55461,                0.99899,               0.002674,               0.002674,               0.002674
                     76,                 1.3768,                0.62713,                 1.0151,                0.89772,                 0.8294,                0.89437,                0.57611,                 1.3023,                0.55367,                0.99868,               0.002575,               0.002575,               0.002575
                     77,                 1.3754,                0.62888,                 1.0146,                0.89673,                0.83046,                0.89461,                0.57661,                 1.3011,                0.55282,                0.99812,               0.002476,               0.002476,               0.002476
                     78,                 1.3787,                0.62985,                 1.0201,                0.89643,                0.83039,                0.89502,                0.57708,                 1.3005,                0.55234,                0.99767,               0.002377,               0.002377,               0.002377
                     79,                 1.3763,                0.62877,                 1.0158,                0.89696,                 0.8313,                0.89576,                0.57758,                 1.2998,                0.55144,                0.99735,               0.002278,               0.002278,               0.002278
                     80,                  1.376,                0.62485,                 1.0146,                0.89738,                0.83133,                0.89626,                0.57787,                 1.2995,                0.55064,                0.99685,               0.002179,               0.002179,               0.002179
                     81,                 1.3729,                0.62529,                  1.014,                0.89564,                0.83292,                0.89599,                 0.5779,                 1.2991,                0.55021,                 0.9967,                0.00208,                0.00208,                0.00208
                     82,                 1.3707,                0.62041,                 1.0109,                0.89636,                0.83242,                0.89657,                0.57824,                 1.2987,                 0.5494,                0.99659,               0.001981,               0.001981,               0.001981
